yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
71362022,7136,2022,LA0010000,LA0010000,,N,N,,I,ACADIA,ACADIA CO SO CROWLEY,Acadia,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,County,33913,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,55,10,65,11,26,37,1.9,3.0,2002-01-01,2006-09-01,2006-09-01,2021-03-01,2021-03-01,2021-03-01,N,ACADIA,"Lafayette, LA",Y,Y,Y
71382022,7138,2022,LA0010200,LA0010200,,N,N,,I,RAYNE,RAYNE PD,Rayne,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,City,7100,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,19,0,19,2,3,5,3.0,3.4,2002-01-01,2020-09-01,2020-09-01,2021-09-01,2021-09-01,2021-09-01,N,ACADIA,"Lafayette, LA",Y,Y,Y
71392022,7139,2022,LA0010300,LA0010300,,N,N,,I,CHURCH POINT,CHURCH POINT PD,Church Point,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,City,4106,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,7,0,7,3.4,3.4,2002-01-01,2020-04-01,2020-04-01,2020-06-01,2020-06-01,2020-06-01,N,ACADIA,"Lafayette, LA",Y,Y,Y
71422022,7142,2022,LA0020000,LA0020000,,N,N,,I,ALLEN,ALLEN CO SO OBERLIN,Allen,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,County,12273,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,24,51,75,2,47,49,2.1,10.1,2002-01-01,2021-09-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,ALLEN,Not Specified,Y,Y,Y
71462022,7146,2022,LA0030000,LA0030000,,N,N,,I,ASCENSION,ASCENSION CO SO DONALDSONVILLE,Ascension,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,County,116677,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,201,28,229,20,90,110,1.9,2.9,2002-01-01,2003-01-01,2003-01-01,2019-01-01,2019-01-01,2019-01-01,N,ASCENSION,"Baton Rouge, LA",Y,Y,Y
71482022,7148,2022,LA0030200,LA0030200,,N,N,,I,GONZALES,GONZALES PD,Gonzales,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,City,12869,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,39,0,39,3,5,8,3.3,3.7,2002-01-01,2011-01-01,2011-01-01,2019-01-01,2019-01-01,2019-01-01,N,ASCENSION,"Baton Rouge, LA",Y,Y,Y
71542022,7154,2022,LA0050200,LA0050200,,N,N,,I,MARKSVILLE,MARKSVILLE PD,Marksville,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,City,4843,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,1,12,2,5,7,2.7,3.9,2002-01-01,2020-12-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,AVOYELLES,Not Specified,Y,Y,Y
71582022,7158,2022,LA0060000,LA0060000,,N,N,,I,BEAUREGARD,BEAUREGARD CO SO DE RIDDER,Beauregard,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,County,26344,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,85,32,117,21,6,27,4.0,5.5,2002-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BEAUREGARD,Not Specified,Y,Y,Y
71592022,7159,2022,LA0060100,LA0060100,,N,N,,I,DE RIDDER,DE RIDDER PD,De Ridder,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,City,9674,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,25,0,25,3,5,8,2.9,3.4,2002-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,"BEAUREGARD, VERNON",Not Specified,Y,Y,Y
71612022,7161,2022,LA0070000,LA0070000,,N,N,,I,BIENVILLE,BIENVILLE CO SO ARCADIA,Bienville,,A,22,Louisiana,LA,LA,7,West South Central,3,South,Region III,County,11302,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,33,10,43,3,19,22,3.2,5.8,2002-01-01,2020-01-01,2020-01-01,2020-08-01,2020-08-01,2020-08-01,N,BIENVILLE,Not Specified,Y,Y,Y
